"company","role","skills","demand","yoy","location","salary_min","salary_max"
"Dream11","Data Scientist","Python,Machine Learning,TensorFlow,SQL,Statistics","88","15","Mumbai","1800000","4200000"
"Nykaa","Frontend Engineer","React,Next.js,TypeScript,CSS,Redux,JavaScript","82","6","Mumbai","1300000","3000000"
"PolicyBazaar","Backend Developer","Node.js,Express,MongoDB,Redis,Docker,Kafka","84","9","Gurugram","1400000","3200000"
"Delhivery","Software Engineer","Java,Spring Boot,AWS,MySQL,Microservices,Kafka","86","10","Gurugram","1500000","3400000"
"Urban Company","Mobile App Developer","Flutter,Dart,Firebase,REST APIs,Android,iOS","81","7","Gurugram","1200000","2800000"
"PayU India","Security Analyst","SIEM,Threat Detection,Python,Compliance,Cloud Security","83","12","Bengaluru","1400000","3100000"
"MakeMyTrip","Frontend Engineer","React,JavaScript,Redux,CSS,TypeScript,GraphQL","82","6","Gurugram","1300000","2900000"
"Cleartrip","Backend Engineer","Java,Spring Boot,MySQL,Redis,Kafka,Docker","84","8","Bengaluru","1400000","3200000"
"BookMyShow","Cloud Engineer","AWS,Docker,Kubernetes,Terraform,CI/CD,Monitoring","85","9","Mumbai","1500000","3300000"
"Juspay","Payments Engineer","Java,Kafka,Microservices,Security,Redis,AWS","90","16","Bengaluru","2000000","4500000"
"BrowserStack","DevOps Engineer","Kubernetes,Docker,CI/CD,Terraform,AWS,Linux","87","11","Mumbai","1700000","3700000"
"Postman","Frontend Engineer","React,TypeScript,Electron,Redux,JavaScript,CSS","88","10","Bengaluru","1800000","4000000"
"InMobi","AI Engineer","Python,PyTorch,Machine Learning,LLMs,TensorFlow,MLOps","92","19","Bengaluru","2200000","5000000"
"ShareChat","Backend Engineer","Go,Kafka,Redis,PostgreSQL,Microservices,Docker","86","12","Bengaluru","1600000","3600000"
"Dailyhunt","Data Scientist","Python,SQL,Machine Learning,TensorFlow,Statistics","84","9","Bengaluru","1500000","3400000"
"RedBus","Software Engineer","Java,Spring Boot,Microservices,MySQL,AWS,Kafka","83","8","Bengaluru","1400000","3200000"
"CarDekho","Frontend Developer","React,Next.js,Redux,JavaScript,CSS,TypeScript","81","5","Gurugram","1200000","2800000"
"Zerodha","Backend Engineer","Go,Redis,Kafka,PostgreSQL,Docker,Kubernetes","90","14","Bengaluru","2000000","4400000"
"CoinDCX","Blockchain Engineer","Solidity,Web3,Node.js,Ethereum,Smart Contracts,Security","91","20","Mumbai","2200000","4800000"
"Chargebee","Full Stack Engineer","React,Node.js,MongoDB,GraphQL,Docker,Kubernetes","86","9","Chennai","1600000","3500000"
"Gupshup","AI Chatbot Engineer","Python,LLMs,NLP,LangChain,FastAPI,Vector DB","94","24","Mumbai","2400000","5500000"
"Fractal Analytics","Data Scientist","Python,Machine Learning,Statistics,TensorFlow,SQL","89","17","Mumbai","1800000","4100000"
